epoch,acc,loss,lr,val_acc,val_loss
0,0.8004655354333025,0.46742233570236946,0.001,0.8060462796345963,0.44091459385496423
1,0.8066238817908532,0.4433962797453123,0.001,0.8206743122508978,0.41107842235652875
2,0.8133135493174313,0.4266064370793809,0.001,0.8268041339017581,0.3918974726071893
3,0.816646394450475,0.41798965824580275,0.001,0.8277793380336597,0.3879882588164658
4,0.8195735827276515,0.4114101349770915,0.001,0.8324603038632661,0.37994851666461393
5,0.8211189438347853,0.40693783997947336,0.001,0.8344385746163756,0.375235219292735
6,0.8232926099940795,0.4031053819993941,0.001,0.834243527359536,0.376254111187941
7,0.8254785295338369,0.39759235537011134,0.001,0.8356366833128548,0.372185261045601
8,0.8261144909152875,0.39510364536032444,0.001,0.8380886274116157,0.36660745595450783
9,0.8277408897837235,0.3924487665081772,0.001,0.8399275675162727,0.36242225071984635
10,0.8293618992272711,0.3883777720633767,0.001,0.8405405520628874,0.3622159334270693
11,0.8303173782263357,0.3868286514544825,0.001,0.8394539034708725,0.3649638049381295
